State,Honey producing colonies,Yield per colony,Production,Stocks December 15,Average price per pound,Value of production,Year
ID,103,46,4738,1706,1.45,6870,2009
IL,8,34,272,57,2.26,615,2009
IN,9,32,288,101,1.98,570,2009
IA,26,42,1092,339,1.51,1649,2009
KS,9,63,567,164,1.89,1072,2009
KY,5,35,175,25,2.73,478,2009
LA,37,103,3811,610,1.32,5031,2009
ME,6,50,300,51,1.86,558,2009
MI,66,60,3960,1505,1.51,5980,2009
MN,122,65,7930,1427,1.4,11102,2009
MS,14,104,1456,87,1.32,1922,2009
MO,11,47,517,57,1.98,1024,2009
MT,146,70,10220,3577,1.45,14819,2009
NE,48,56,2688,1102,1.44,3871,2009
NV,10,52,520,57,1.29,671,2009
NJ,9,32,288,46,1.93,556,2009
NM,7,60,420,143,1.63,685,2009
NY,47,65,3055,978,1.83,5591,2009
NC,11,45,495,84,2.52,1247,2009
ND,450,77,34650,7623,1.37,47471,2009
OH,11,50,550,132,2.75,1513,2009
OR,55,34,1870,767,1.49,2786,2009
PA,21,40,840,319,1.99,1672,2009
SD,270,66,17820,6237,1.39,24770,2009
TN,7,51,357,86,2.35,839,2009
TX,74,63,4662,886,1.38,6434,2009
UT,26,38,988,198,1.47,1452,2009
VT,5,49,245,69,2.36,578,2009
VA,6,39,234,56,3.28,768,2009
WA,62,44,2728,1064,1.49,4065,2009
WV,5,37,185,33,2.67,494,2009
WI,63,60,3780,1588,1.51,5708,2009
WY,37,48,1776,391,1.43,2540,2009
Other,15,51,768,127,2.8,2150,2009
US,2462,58.5,144108,37153,1.445,208236,2009
AL,9,54,486,73,2.22,1079,2010
AZ,24,77,1848,665,1.43,2643,2010
AR,25,60,1500,360,1.47,2205,2010
CA,410,67,27470,6318,1.56,42853,2010
CO,34,56,1904,533,1.5,2856,2010
FL,200,69,13800,1794,1.57,21666,2010
GA,55,46,2530,152,1.67,4225,2010
HI,10,77,770,239,2.27,1748,2010
ID,98,27,2646,1191,1.5,3969,2010
IL,9,41,369,92,3.05,1125,2010
IN,10,43,430,151,2.26,972,2010
IA,27,49,1323,463,1.89,2500,2010
KS,9,52,468,103,2.29,1072,2010
KY,5,67,335,67,2.64,884,2010
LA,21,80,1680,269,1.48,2486,2010
ME,6,41,246,39,2.11,519,2010
MI,70,58,4060,1502,1.64,6658,2010
MN,126,66,8316,1746,1.54,12807,2010
MS,16,98,1568,78,1.47,2305,2010
MO,11,52,572,92,1.8,1030,2010
MT,157,74,11618,2905,1.55,18008,2010
NE,44,55,2420,1041,1.49,3606,2010
NJ,13,35,455,73,1.75,796,2010
NM,7,66,462,157,1.58,730,2010
NY,47,64,3008,1173,1.78,5354,2010
NC,13,46,598,138,2.73,1633,2010
ND,510,91,46410,12995,1.51,70079,2010
OH,17,62,1054,327,2.23,2350,2010
OR,59,39,2301,874,1.62,3728,2010
PA,30,37,1110,377,2.05,2276,2010
SD,265,59,15635,4847,1.54,24078,2010
TN,8,63,504,106,2.45,1235,2010
TX,100,72,7200,792,1.53,11016,2010
UT,26,30,780,195,1.52,1186,2010
VT,4,65,260,73,2.21,575,2010
VA,5,37,185,37,3.31,612,2010
WA,71,37,2627,1077,1.52,3993,2010
WV,5,38,190,38,2.39,454,2010
WI,68,64,4352,1654,1.67,7268,2010
WY,34,36,1224,282,1.6,1958,2010
Other,26,46,1190,219,2.56,3046,2010
US,2684,65.5,175904,45307,1.6030000000000002,281974,2010
AL,9,50,450,63,2.5,1125,2011
AZ,23,53,1219,427,1.5,1829,2011
AR,22,64,1408,239,1.61,2267,2011
CA,370,48,17760,3730,1.61,28594,2011
CO,31,55,1705,443,1.68,2864,2011
FL,180,61,10980,988,1.65,18117,2011
GA,65,43,2795,196,1.61,4500,2011
HI,9,74,666,246,4.71,3137,2011
ID,87,36,3132,1879,1.78,5575,2011
IL,7,50,350,98,3.98,1393,2011
IN,8,51,408,147,2.06,840,2011
IA,25,62,1550,961,1.95,3023,2011
KS,7,44,308,117,2.15,662,2011
KY,4,39,156,12,2.8,437,2011
LA,36,77,2772,471,1.67,4629,2011
ME,4,30,120,17,1.91,229,2011
MI,74,64,4736,2084,1.76,8335,2011
MN,120,53,6360,2099,1.59,10112,2011
MS,18,115,2070,104,1.53,3167,2011
MO,8,43,344,76,2.09,719,2011
MT,145,92,13340,3202,1.64,21878,2011
NE,41,59,2419,653,1.73,4185,2011
NJ,11,41,451,135,3.76,1696,2011
NM,7,56,392,153,1.66,651,2011
NY,49,56,2744,1235,1.93,5296,2011
NC,14,62,868,95,2.82,2448,2011
ND,460,71,32660,7512,1.66,54216,2011
OH,15,66,990,228,2.26,2237,2011
OR,60,34,2040,755,1.74,3550,2011
PA,24,44,1056,306,2.42,2556,2011
SD,250,66,16500,4290,1.65,27225,2011
TN,7,44,308,68,2.98,918,2011
TX,78,58,4524,633,1.77,8007,2011
UT,23,39,897,170,1.75,1570,2011
VT,4,43,172,43,2.3,396,2011
VA,4,40,160,21,4,640,2011
WA,71,38,2698,836,1.76,4748,2011
WV,4,53,212,45,2.42,513,2011
WI,57,63,3591,1508,1.8,6464,2011
WY,35,54,1890,265,1.76,3326,2011
Other,25,46,1156,211,2.86,3306,2011
US,2491,59.6,148357,36761,1.729,256509,2011
AL,8,54,432,65,2.43,1050,2012
AZ,22,46,1012,253,1.7,1720,2012
AR,26,63,1638,197,1.84,3014,2012
CA,340,35,11900,3213,1.93,22967,2012
CO,26,48,1248,487,2.12,2646,2012
FL,199,64,12736,1274,1.81,23052,2012
GA,62,51,3162,190,1.89,5976,2012
HI,10,75,750,263,3.19,2393,2012
ID,96,32,3072,553,1.61,4946,2012
IL,7,61,427,145,3.4,1452,2012
IN,9,59,531,228,2.44,1296,2012
IA,38,61,2318,1229,2.11,4891,2012
KS,7,55,385,146,2.35,905,2012
KY,5,51,255,41,3.18,811,2012
LA,41,86,3526,141,1.77,6241,2012
ME,4,34,136,24,2.25,306,2012
MI,76,57,4332,1386,2.03,8794,2012
MN,130,67,8710,1655,1.88,16375,2012
MS,19,118,2242,67,1.63,3654,2012
MO,7,53,371,108,2.56,950,2012
MT,149,52,7748,2479,1.91,14799,2012
NE,44,65,2860,1173,1.91,5463,2012
NJ,14,33,462,51,1.88,869,2012
NM,5,52,260,99,3.13,814,2012
NY,52,51,2652,1008,2.28,6047,2012
NC,13,39,507,106,3.69,1871,2012
ND,495,69,34155,6148,1.89,64553,2012
OH,19,60,1140,433,2.42,2759,2012
OR,62,32,1984,873,2.11,4186,2012
PA,17,60,1020,286,2.62,2672,2012
SD,270,63,17010,3742,1.94,32999,2012
TN,7,61,427,68,2.85,1217,2012
TX,95,52,4940,741,2,9880,2012
UT,26,38,988,217,1.85,1828,2012
VT,4,60,240,53,2.34,562,2012
VA,4,41,164,23,3.85,631,2012
WA,64,41,2624,1050,2.35,6166,2012
WV,7,48,336,111,2.8,941,2012
WI,63,69,4347,1956,2.04,8868,2012
WY,51,51,2601,468,1.82,4734,2012
Other,31,47,1444,172,3.04,4390,2012
US,2624,56.1,147092,32922,1.9509999999999998,286976,2012
AL,7,52,364,55,2.81,1023,2013
AZ,29,36,1044,251,1.89,1973,2013
AR,22,60,1320,66,2.01,2653,2013
CA,330,33,10890,2505,2.1,22869,2013
CO,26,43,1118,324,2.1,2348,2013
FL,220,61,13420,1074,2.04,27377,2013
GA,67,50,3350,637,2.24,7504,2013
HI,13,83,1079,65,1.98,2136,2013
ID,83,32,2656,1036,2.01,5339,2013
IL,7,48,336,101,4.15,1394,2013
IN,6,47,282,82,2.67,753,2013
IA,39,48,1872,1217,2.54,4755,2013
KS,6,46,276,39,2.55,704,2013
KY,3,41,123,17,3.02,371,2013
LA,50,98,4900,490,1.83,8967,2013
ME,7,43,301,27,3.03,912,2013
MI,85,55,4675,982,2.13,9958,2013
MN,130,58,7540,1282,1.97,14854,2013
MS,17,116,1972,39,1.85,3648,2013
MO,10,47,470,85,2.53,1189,2013
MT,159,94,14946,5231,2.08,31088,2013
NE,46,60,2760,1628,2.06,5686,2013
NJ,11,44,484,34,3.89,1883,2013
NY,55,48,2640,1030,1.99,5254,2013
NC,10,38,380,84,3.63,1379,2013
ND,480,69,33120,6955,2.04,67565,2013
OH,17,45,765,390,3.21,2456,2013
OR,62,35,2170,456,2.29,4969,2013
PA,13,45,585,257,2.98,1743,2013
SD,265,56,14840,6381,2.06,30570,2013
TN,7,45,315,63,3.58,1128,2013
TX,106,59,6254,1689,2.12,13258,2013
UT,30,34,1020,92,2.07,2111,2013
VT,3,51,153,46,3.31,506,2013
VA,5,35,175,42,4.23,740,2013
WA,69,39,2691,1023,2.21,5947,2013
WV,6,46,276,83,3.56,983,2013
WI,59,60,3540,1558,2.31,8177,2013
WY,47,66,3102,558,2.11,6545,2013
Other,33,39,1295,186,4.17,5400,2013
US,2640,56.6,149499,38160,2.121,317087,2013
AL,7,53,371,26,3.4,1261,2014
AZ,26,39,1014,193,2.02,2048,2014
AR,21,65,1365,137,2,2730,2014
CA,320,39,12480,2995,2.03,25334,2014
CO,27,37,999,200,2,1998,2014
FL,245,60,14700,1029,2.08,30576,2014
GA,73,62,4526,362,2.19,9912,2014
HI,15,93,1395,140,2.28,3181,2014
ID,100,34,3400,850,2.03,6902,2014
IL,8,49,392,94,4.41,1729,2014
IN,5,62,310,115,3.24,1004,2014
IA,35,43,1505,933,2.51,3778,2014
KS,7,75,525,84,2.33,1223,2014
KY,5,47,235,56,3.93,924,2014
LA,48,84,4032,524,2.26,9112,2014
ME,8,47,376,41,5.36,2015,2014
MI,91,63,5733,1835,2.5,14333,2014
MN,132,60,7920,1426,2.06,16315,2014
MS,20,112,2240,45,2.01,4502,2014
MO,12,47,564,96,3.57,2013,2014
MT,162,88,14256,5132,2.05,29225,2014
NE,50,75,3750,1688,2.1,7875,2014
NJ,12,30,360,119,2.98,1073,2014
NY,60,55,3300,1518,2.72,8976,2014
NC,12,43,516,88,3.47,1791,2014
ND,490,86,42140,9271,2,84280,2014
OH,15,61,915,256,3.52,3221,2014
OR,71,40,2840,767,2.19,6220,2014
PA,17,46,782,203,2.75,2151,2014
SC,9,54,486,19,3.83,1861,2014
SD,280,87,24360,5846,2.09,50912,2014
TN,7,63,441,88,3.23,1424,2014
TX,116,78,9048,2081,2.23,20177,2014
UT,29,28,812,130,2.13,1730,2014
VT,3,58,174,61,5.03,875,2014
VA,6,41,246,57,5.07,1247,2014
WA,68,44,2992,1167,2.48,7420,2014
WV,6,31,186,33,4.04,751,2014
WI,53,54,2862,1030,2.32,6640,2014
WY,38,61,2318,255,2.06,4775,2014
Other,31,45,1404,202,3.58,5026,2014
US,2740,65.1,178270,41192,2.161,385241,2014
AL,7,47,329,13,3.83,1260,2015
AZ,26,49,1274,306,2.17,2765,2015
AR,24,72,1728,121,2.02,3491,2015
CA,275,30,8250,1485,2.04,16830,2015
CO,29,51,1479,399,2.18,3224,2015
FL,220,54,11880,832,1.97,23404,2015
GA,69,40,2760,221,2.42,6679,2015
HI,14,102,1428,71,1.95,2785,2015
ID,89,32,2848,1082,1.92,5468,2015
IL,8,51,408,155,4.32,1763,2015
IN,6,53,318,165,3.38,1075,2015
IA,36,50,1800,990,2.33,4194,2015
KS,8,36,288,107,3.52,1014,2015
KY,5,46,230,55,3.86,888,2015
LA,44,99,4356,348,1.93,8407,2015
ME,10,47,470,47,5.51,2590,2015
MI,90,58,5220,1984,2.43,12685,2015
MN,122,68,8296,2157,1.83,15182,2015
MS,15,83,1245,87,2.64,3287,2015
MO,10,52,520,52,3.5,1820,2015
MT,146,83,12118,3757,1.94,23509,2015
NE,57,48,2736,1450,2.02,5527,2015
NJ,12,27,324,207,4.2,1361,2015
NY,58,62,3596,899,2.94,10572,2015
NC,12,45,540,103,4.52,2441,2015
ND,490,74,36260,9428,1.8,65268,2015
OH,17,50,850,357,4.08,3468,2015
OR,71,38,2698,809,2.52,6799,2015
PA,17,53,901,225,3.63,3271,2015
SC,14,67,938,38,4.09,3836,2015
SD,290,66,19140,9379,1.79,34261,2015
TN,7,59,413,78,4.07,1681,2015
TX,126,66,8316,1164,2.09,17380,2015
UT,27,42,1134,147,1.93,2189,2015
VT,5,52,260,62,4.23,1100,2015
VA,6,38,228,50,5.67,1293,2015
WA,73,44,3212,1221,1.64,5268,2015
WV,5,35,175,32,4.44,777,2015
WI,52,67,3484,1603,2.41,8396,2015
WY,38,77,2926,146,1.9,5559,2015
Other,30,39,1168,371,5.03,5875,2015
US,2660,58.9,156544,42203,2.09,327177,2015
AL,7,52,364,33,3.37,1227,2016
AZ,27,46,1242,261,1.99,2472,2016
AR,24,69,1656,99,1.84,3047,2016
CA,310,36,11160,2009,2,22320,2016
CO,32,40,1280,282,2.17,2778,2016
FL,215,50,10750,538,2.44,26230,2016
GA,96,39,3744,899,2.69,10071,2016
HI,16,113,1808,127,2.31,4176,2016
ID,97,34,3298,1253,1.72,5673,2016
IL,10,48,480,77,5.39,2587,2016
IN,7,62,434,208,3.36,1458,2016
IA,37,48,1776,746,2.07,3676,2016
KS,7,48,336,54,2.97,998,2016
KY,5,46,230,48,4.02,925,2016
LA,50,86,4300,301,1.93,8299,2016
ME,12,34,408,65,3.21,1310,2016
MI,89,60,5340,1709,2.25,12015,2016
MN,124,59,7316,1390,1.64,11998,2016
MS,19,85,1615,113,1.74,2810,2016
MO,8,62,496,30,2.18,1081,2016
MT,159,77,12243,3183,1.75,21425,2016
NE,48,46,2208,640,1.88,4151,2016
NJ,12,27,324,198,6.69,2168,2016
NY,64,57,3648,1167,3.2,11674,2016
NC,12,37,444,89,4.61,2047,2016
ND,485,78,37830,6809,1.73,65446,2016
OH,15,79,1185,664,3.84,4550,2016
OR,74,35,2590,622,2.06,5335,2016
PA,19,50,950,266,3.15,2993,2016
SC,16,45,720,36,4.5,3240,2016
SD,280,71,19880,12127,1.74,34591,2016
TN,6,55,330,69,4.78,1577,2016
TX,133,70,9310,2607,1.96,18248,2016
UT,31,32,992,169,1.91,1895,2016
VT,6,52,312,69,2.82,880,2016
VA,5,38,190,30,5.82,1106,2016
WA,84,35,2940,412,1.88,5527,2016
WV,5,32,160,43,3.73,597,2016
WI,54,62,3348,1205,2.44,8169,2016
WY,40,68,2720,190,1.76,4787,2016
Other,35,44,1525,416,4.26,6497,2016
US,2775,58.3,161882,41253,2.075,335905,2016
AL,7,45,315,22,2.77,873,2017
AZ,22,40,880,97,1.96,1725,2017
AR,29,77,2233,223,1.91,4265,2017
CA,335,41,13735,2198,2.09,28706,2017
CO,33,43,1419,284,2.06,2923,2017
FL,205,43,8815,529,2.4,21156,2017
GA,99,32,3168,190,2.96,9377,2017
HI,12,131,1572,16,1.51,2374,2017
ID,95,44,4180,1045,1.79,7482,2017
IL,11,46,506,167,4.76,2409,2017
IN,7,48,336,128,3.94,1324,2017
IA,35,58,2030,1035,2.22,4507,2017
KS,7,79,553,260,4.18,2312,2017
KY,5,38,190,42,4.08,775,2017
LA,43,81,3483,279,1.88,6548,2017
ME,12,33,396,51,5.45,2158,2017
MI,87,45,3915,822,2.41,9435,2017
MN,126,62,7812,1016,1.86,14530,2017
MS,13,80,1040,83,1.81,1882,2017
MO,8,65,520,57,3.53,1836,2017
MT,145,72,10440,2506,2.3,24012,2017
NE,42,63,2646,423,1.99,5266,2017
NJ,13,28,364,167,7.86,2861,2017
NY,57,56,3192,766,3.01,9608,2017
NC,11,41,451,99,4.34,1957,2017
ND,455,74,33670,4377,1.89,63636,2017
OH,15,73,1095,657,3.12,3416,2017
OR,78,40,3120,998,1.89,5897,2017
PA,16,46,736,177,3.4,2502,2017
SC,16,34,544,27,3.06,1665,2017
SD,255,57,14535,6541,1.91,27762,2017
TN,7,41,287,75,4.68,1343,2017
TX,120,66,7920,2297,2.11,16711,2017
UT,27,31,837,67,2.06,1724,2017
VT,7,45,315,120,4.17,1314,2017
VA,5,35,175,39,5.73,1003,2017
WA,77,45,3465,1594,2.25,7796,2017
WV,6,40,240,50,3.85,924,2017
WI,53,56,2968,683,2.77,8221,2017
WY,39,53,2067,186,1.59,3287,2017
Other,34,43,1473,184,4.11,6054,2017
US,2669,55.3,147638,30577,2.156,318308,2017
AL,6,45,270,14,3.57,964,2018
AZ,24,38,912,109,2.82,2572,2018
AR,28,50,1400,84,1.87,2618,2018
CA,335,41,13735,3022,2.06,28294,2018
CO,31,48,1488,283,2.02,3006,2018
FL,215,49,10535,737,2.4,25284,2018
GA,98,34,3332,200,2.79,9296,2018
HI,17,103,1751,18,1.83,3204,2018
ID,96,31,2976,655,1.96,5833,2018
IL,11,41,451,108,5.01,2260,2018
IN,7,46,322,106,3.75,1208,2018
IA,38,49,1862,1005,2.35,4376,2018
KS,5,73,365,95,3,1095,2018
KY,4,41,164,34,5.42,889,2018
LA,45,83,3735,261,1.9,7097,2018
ME,12,32,384,92,2.68,1029,2018
MI,92,44,4048,729,2.37,9594,2018
MN,119,61,7259,1161,1.88,13647,2018
MS,20,87,1740,70,2.05,3567,2018
MO,9,45,405,36,2.58,1045,2018
MT,160,92,14720,3680,1.92,28262,2018
NE,40,59,2360,850,1.99,4696,2018
NJ,13,31,403,165,7.35,2962,2018
NY,56,48,2688,833,3.34,8978,2018
NC,10,33,330,63,5.55,1832,2018
ND,530,72,38160,4579,1.88,71741,2018
OH,14,73,1022,491,3.61,3689,2018
OR,93,35,3255,1009,2.22,7226,2018
PA,19,44,836,309,3.73,3118,2018
SC,16,48,768,15,3.04,2335,2018
SD,255,47,11985,5154,1.98,23730,2018
TN,7,46,322,84,3.99,1285,2018
TX,132,56,7392,1035,2.06,15228,2018
UT,26,41,1066,75,2.09,2228,2018
VT,7,48,336,94,3.66,1230,2018
VA,4,40,160,35,6.83,1093,2018
WA,77,43,3311,563,2.11,6986,2018
WV,6,37,222,38,4.16,924,2018
WI,51,45,2295,711,2.76,6334,2018
WY,39,56,2184,175,1.89,4128,2018
Other,36,39,1399,314,5.93,8599,2018
US,2803,54.4,152348,29091,2.166,333482,2018
AL,7,42,294,44,3.20,941,2019
AZ,23,46,1058,201,1.97,2084,2019
AR,20,55,1100,176,1.53,1683,2019
CA,335,48,16080,3216,1.56,25085,2019
CO,32,46,1472,500,2.14,3150,2019
FL,205,45,9225,830,2.48,22878,2019
GA,102,33,3366,370,2.61,8785,2019
HI,16,80,1280,51,1.28,1638,2019
ID,92,32,2944,677,1.67,4916,2019
IL,11,39,429,116,4.31,1849,2019
IN,9,55,495,198,3.95,1955,2019
IA,38,55,2090,1170,2.24,4682,2019
KS,7,79,553,171,2.95,1631,2019
KY,6,41,246,44,4.50,1107,2019
LA,54,72,3888,428,2.04,7932,2019
ME,15,35,525,110,2.92,1533,2019
MI,94,50,4700,1363,2.36,11092,2019
MN,118,59,6962,3063,1.63,11348,2019
MS,22,80,1760,141,1.85,3256,2019
MO,10,43,430,73,3.32,1428,2019
MT,173,86,14878,5802,1.48,22019,2019
NE,39,52,2028,223,1.46,2961,2019
NJ,15,28,420,155,3.33,1399,2019
NY,59,58,3422,1027,4.49,15365,2019
NC,14,42,588,118,4.06,2387,2019
ND,520,65,33800,6422,1.40,47320,2019
OH,15,67,1005,442,3.42,3437,2019
OR,87,32,2784,1141,2.07,5763,2019
PA,19,50,950,409,4.24,4028,2019
SC,16,47,752,45,5.01,3768,2019
SD,270,72,19440,7582,1.53,29743,2019
TN,8,57,456,91,4.65,2120,2019
TX,126,60,7560,1814,2.30,17388,2019
UT,22,29,638,89,2.06,1314,2019
VT,6,48,288,84,4.34,1250,2019
VA,5,39,195,49,7.51,1464,2019
WA,81,35,2835,1191,2.12,6010,2019
WV,6,37,222,47,4.50,999,2019
WI,46,47,2162,692,2.99,6464,2019
WY,39,56,2184,306,1.35,2948,2019
Other,30,47,1418,351,5.91,8380,2019
US,2812,55.8,156922,41022,1.97,309136,2019
